Município,UF
Lagoa do Barro do Piaui,PI
Lagoa do Carro,PE
Lagoa do Mato,MA
Lagoa do Ouro,PE
Lagoa do Piaui,PI
Lagoa do Sitio,PI
Lagoa do Tocantins,TO
Lagoa dos Gatos,PE
Lagoa dos Patos,MG
Lagoa dos Tres Cantos,RS
Lagoa Dourada,MG
Lagoa Formosa,MG
Lagoa Grande,MG
Lagoa Grande,PE
Lagoa Grande do Maranhao,MA
Lagoa Nova,RN
Lagoa Real,BA
Lagoa Salgada,RN
Lagoa Santa,GO
Lagoa Santa,MG
Lagoa Seca,PB
Lagoa Vermelha,RS
Lagoao,RS
Lagoinha,SP
Lagoinha do Piaui,PI
Laguna,SC
Laguna Carapa,MS
Laje,BA
Laje do Muriae,RJ
Lajeado,TO
Lajeado,RS
Lajeado do Bugre,RS
Lajeado Grande,SC
Lajeado Novo,MA
Lajedao,BA
Lajedinho,BA
Lajedo,PE
Lajedo do Tabocal,BA
Lajes,RN
Lajes Pintadas,RN
Lajinha,MG
Lamarao,BA
Lambari,MG
Lambari d Oeste,MT
Lamim,MG
Landri Sales,PI
Lapa,PR
Lapao,BA
Laranja da Terra,ES
Laranjal,MG
Laranjal,PR
Laranjal do Jari,AP
Laranjal Paulista,SP
Laranjeiras,SE
Laranjeiras do Sul,PR
Lassance,MG
Lastro,PB
Laurentino,SC
Lauro de Freitas,BA
Lauro Muller,SC
Lavandeira,TO
Lavinia,SP
Lavras,MG
Lavras da Mangabeira,CE
Lavras do Sul,RS
Lavrinhas,SP
Leandro Ferreira,MG
Lebon Regis,SC
Leme,SP
Leme do Prado,MG
Lencois,BA
Lencois Paulista,SP
Leoberto Leal,SC
Leopoldina,MG
Leopoldo de Bulhoes,GO
Leopolis,PR
Liberato Salzano,RS
Liberdade,MG
Licinio de Almeida,BA
Lidianopolis,PR
Lima Campos,MA
Lima Duarte,MG
Limeira,SP
Limeira do Oeste,MG
Limoeiro,PE
Limoeiro de Anadia,AL
Limoeiro do Ajuru,PA
Limoeiro do Norte,CE
Lindoeste,PR
Lindoia,SP
Lindoia do Sul,SC
Lindolfo Collor,RS
Linha Nova,RS
Linhares,ES
Lins,SP
Livramento,PB
Livramento de Nossa Senhora,BA
Lizarda,TO
Loanda,PR
Lobato,PR
Logradouro,PB
Londrina,PR
Lontra,MG
Lontras,SC
Lorena,SP
Loreto,MA
Lourdes,SP
Louveira,SP
Lucas do Rio Verde,MT
Lucelia,SP
Lucena,PB
Lucianopolis,SP
Luciara,MT
Lucrecia,RN
Luis Antonio,SP
Luis Correia,PI
Luis Domingues,MA
Luis Eduardo Magalhaes,BA
Luis Gomes,RN
Luisburgo,MG
Luislandia,MG
Luiz Alves,SC
Luiziana,PR
Luiziania,SP
Luminarias,MG
Lunardelli,PR
Lupercio,SP
Lupionopolis,PR
Lutecia,SP
Luz,MG
Luzerna,SC
Luziania,GO
Luzilandia,PI
Luzinopolis,TO
Macae,RJ
Macaiba,RN
Macajuba,BA
Macambara,RS
Macambira,SE
Macapa,AP
Macaparana,PE
Macarani,BA
Macatuba,SP
Macau,RN
Macaubal,SP
Macaubas,BA
Macedonia,SP
Maceio,AL
Machacalis,MG
Machadinho,RS
Machadinho d Oeste,RO
Machado,MG
Machados,PE
Macieira,SC
Macuco,RJ
Macurure,BA
Madalena,CE
Madeiro,PI
Madre de Deus,BA
Madre de Deus de Minas,MG
Mae d agua,PB
Mae do Rio,PA
Maetinga,BA
Mafra,SC
Magalhaes Barata,PA
Magalhaes de Almeida,MA
Magda,SP
Mage,RJ
Maiquinique,BA
Mairi,BA
Mairinque,SP
Mairipora,SP
Mairipotaba,GO
Major Gercino,SC
Major Isidoro,AL
Major Sales,RN
Major Vieira,SC
Malacacheta,MG
Malhada,BA
Malhada de Pedras,BA
Malhada dos Bois,SE
Malhador,SE
Mallet,PR
Malta,PB
Mamanguape,PB
Mambai,GO
Mambore,PR
Mamonas,MG
Mampituba,RS
Manacapuru,AM
Manaira,PB
Manaquiri,AM
Manari,PE
Manaus,AM
Mancio Lima,AC
Mandaguacu,PR
Mandaguari,PR
Mandirituba,PR
Manduri,SP
Manfrinopolis,PR
Manga,MG
Mangaratiba,RJ
Mangueirinha,PR
Manhuacu,MG
Manhumirim,MG
Manicore,AM
Manoel Emidio,PI
Manoel Ribas,PR
Manoel Urbano,AC
Manoel Viana,RS
Manoel Vitorino,BA
Mansidao,BA
Mantena,MG
Mantenopolis,ES
Maquine,RS
Mar de Espanha,MG
Mar Vermelho,AL
Mara Rosa,GO
Maraa,AM
Maraba,PA
Maraba Paulista,SP
Maracacume,MA
Maracai,SP
Maracaja,SC
Maracaju,MS
Maracana,PA
Maracanau,CE
Maracas,BA
Maragogi,AL
Maragogipe,BA
Maraial,PE
Maraja do Sena,MA
Maranguape,CE
Maranhaozinho,MA
Marapanim,PA
Marapoama,SP
Marata,RS
Marataizes,ES
Marau,RS
Marau,BA
Maravilha,AL
Maravilha,SC
Maravilhas,MG
Marcacao,PB
Marcelandia,MT
Marcelino Ramos,RS
Marcelino Vieira,RN
Marcionilio Souza,BA
Marco,CE
Marcolandia,PI
Marcos Parente,PI
Marechal Candido Rondon,PR
Marechal Deodoro,AL
Marechal Floriano,ES
Marechal Thaumaturgo,AC
Marema,SC
Mari,PB
Maria da Fe,MG
Maria Helena,PR
Marialva,PR
Mariana,MG
Mariana Pimentel,RS
Mariano Moro,RS
Marianopolis do Tocantins,TO
Mariapolis,SP
Maribondo,AL
Marica,RJ
Marilac,MG
Marilandia,ES
Marilandia do Sul,PR
Marilena,PR
Marilia,SP
Mariluz,PR
Maringa,PR
Marinopolis,SP
Mario Campos,MG
Mariopolis,PR
Maripa,PR
Maripa de Minas,MG
Marituba,PA
Marizopolis,PB
Marlieria,MG
Marmeleiro,PR
Marmelopolis,MG
Marques de Souza,RS
Marquinho,PR
Martinho Campos,MG
Martinopole,CE
Martinopolis,SP
Martins,RN
Martins Soares,MG
Maruim,SE
Marumbi,PR
Marzagao,GO
Mascote,BA
Massape,CE
Massape do Piaui,PI
Massaranduba,PB
Massaranduba,SC
Mata,RS
Mata de Sao Joao,BA
Mata Grande,AL
Mata Roma,MA
Mata Verde,MG
Matao,SP
Mataraca,PB
Mateiros,TO
Matelandia,PR
Materlandia,MG
Mateus Leme,MG
Mathias Lobato,MG
Matias Barbosa,MG
Matias Cardoso,MG
Matias Olimpio,PI
Matina,BA
Matinha,MA
Matinhas,PB
Matinhos,PR
Matipo,MG
Mato Castelhano,RS
Mato Grosso,PB
Mato Leitao,RS
Mato Queimado,RS
Mato Rico,PR
Mato Verde,MG
Matoes,MA
Matoes do Norte,MA
Matos Costa,SC
Matozinhos,MG
Matrincha,GO
Matriz de Camaragibe,AL
Matupa,MT
Matureia,PB
Matutina,MG
Maua,SP
Maua da Serra,PR
Maues,AM
Maurilandia,GO
Maurilandia do Tocantins,TO
Mauriti,CE
Maxaranguape,RN
Maximiliano de Almeida,RS
Mazagao,AP
Medeiros,MG
Medeiros Neto,BA
Medianeira,PR
Medicilandia,PA
Medina,MG
Meleiro,SC
Melgaco,PA
Mendes,RJ
Mendes Pimentel,MG
Mendonca,SP
Mercedes,PR
Merces,MG
Meridiano,SP
Meruoca,CE
Mesopolis,SP
Mesquita,RJ
Mesquita,MG
Messias,AL
Messias Targino,RN
Miguel Alves,PI
Miguel Calmon,BA
Miguel Leao,PI
Miguel Pereira,RJ
Miguelopolis,SP
Milagres,CE
Milagres,BA
Milagres do Maranhao,MA
Milha,CE
Milton Brandao,PI
Mimoso de Goias,GO
Mimoso do Sul,ES
Minacu,GO
Minador do Negrao,AL
Minas do Leao,RS
Minas Novas,MG
Minduri,MG
Mineiros,GO
Mineiros do Tiete,SP
Ministro Andreazza,RO
Mira Estrela,SP
Mirabela,MG
Miracatu,SP
Miracema,RJ
Miracema do Tocantins,TO
Mirador,MA
Mirador,PR
Miradouro,MG
Miraguai,RS
Mirai,MG
Miraima,CE
Miranda,MS
Miranda do Norte,MA
Mirandiba,PE
Mirandopolis,SP
Mirangaba,BA
Miranorte,TO
Mirante,BA
Mirante da Serra,RO
Mirante do Paranapanema,SP
Miraselva,PR
Mirassol,SP
Mirassol d Oeste,MT
Mirassolandia,SP
Miravania,MG
Mirim Doce,SC
Mirinzal,MA
Missal,PR
Missao Velha,CE
Mocajuba,PA
Mococa,SP
Modelo,SC
Moeda,MG
Moema,MG
Mogeiro,PB
Mogi das Cruzes,SP
Mogi Guacu,SP
Mogi Mirim,SP
Moipora,GO
Moita Bonita,SE
Moju,PA
Mojui dos Campos,PA
Mombaca,CE
Mombuca,SP
Moncao,MA
Moncoes,SP
Mondai,SC
Mongagua,SP
Monjolos,MG
Monsenhor Gil,PI
Monsenhor Hipolito,PI
Monsenhor Paulo,MG
Monsenhor Tabosa,CE
Montadas,PB
Montalvania,MG
Montanha,ES
Montanhas,RN
Montauri,RS
Monte Alegre,PA
Monte Alegre,RN
Monte Alegre de Goias,GO
Monte Alegre de Minas,MG
Monte Alegre de Sergipe,SE
Monte Alegre do Piaui,PI
Monte Alegre do Sul,SP
Monte Alegre dos Campos,RS
Monte Alto,SP
Monte Aprazivel,SP
Monte Azul,MG
Monte Azul Paulista,SP
Monte Belo,MG
Monte Belo do Sul,RS
Monte Carlo,SC
Monte Carmelo,MG
Monte Castelo,SC
Monte Castelo,SP
Monte das Gameleiras,RN
Monte do Carmo,TO
Monte Formoso,MG
Monte Horebe,PB
Monte Mor,SP
Monte Negro,RO
Monte Santo,BA
Monte Santo de Minas,MG
Monte Santo do Tocantins,TO
Monte Siao,MG
Monteiro,PB
Monteiro Lobato,SP
Monteiropolis,AL
Montenegro,RS
Montes Altos,MA
Montes Claros,MG
Montes Claros de Goias,GO
Montezuma,MG
Montividiu,GO
Montividiu do Norte,GO
Morada Nova,CE
Morada Nova de Minas,MG
Moraujo,CE
Moreilandia,PE
Moreira Sales,PR
Moreno,PE
Mormaco,RS
Morpara,BA
Morretes,PR
Morrinhos,GO
Morrinhos,CE
Morrinhos do Sul,RS
Morro Agudo,SP
Morro Agudo de Goias,GO
Morro Cabeca no Tempo,PI
Morro da Fumaca,SC
Morro da Garca,MG
Morro do Chapeu,BA
Morro do Chapeu do Piaui,PI
Morro do Pilar,MG
Morro Grande,SC
Morro Redondo,RS
Morro Reuter,RS
Morros,MA
Mortugaba,BA
Morungaba,SP
Mossamedes,GO
Mossoro,RN
Mostardas,RS
Motuca,SP
Mozarlandia,GO
Muana,PA
Mucajai,RR
Mucambo,CE
Mucuge,BA
Mucum,RS
Mucuri,BA
Mucurici,ES
Muitos Capoes,RS
Muliterno,RS
Mulungu,PB
Mulungu,CE
Mulungu do Morro,BA
Mundo Novo,BA
Mundo Novo,MS
Mundo Novo,GO
Munhoz,MG
Munhoz de Melo,PR
Muniz Ferreira,BA
Muniz Freire,ES
Muquem de Sao Francisco,BA
Muqui,ES
Muriae,MG
Muribeca,SE
Murici,AL
Murici dos Portelas,PI
Muricilandia,TO
Muritiba,BA
Murutinga do Sul,SP
Mutuipe,BA
Mutum,MG
Mutunopolis,GO
Muzambinho,MG
Nacip Raydan,MG
Nantes,SP
Nanuque,MG
Nao-Me-Toque,RS
Naque,MG
Narandiba,SP
Natal,RN
Natalandia,MG
Natercia,MG
Natividade,TO
Natividade,RJ
Natividade da Serra,SP
Natuba,PB
Navegantes,SC
Navirai,MS
Nazare,BA
Nazare,TO
Nazare da Mata,PE
Nazare do Piaui,PI
Nazare Paulista,SP
Nazareno,MG
Nazarezinho,PB
Nazaria,PI
Nazario,GO
Neopolis,SE
Nepomuceno,MG
Neropolis,GO
Neves Paulista,SP
Nhamunda,AM
Nhandeara,SP
Nicolau Vergueiro,RS
Nilo Pecanha,BA
Nilopolis,RJ
Nina Rodrigues,MA
Ninheira,MG
Nioaque,MS
Nipoa,SP
Niquelandia,GO
Nisia Floresta,RN
Niteroi,RJ
Nobres,MT
Nonoai,RS
Nordestina,BA
Normandia,RR
Nortelandia,MT
Nossa Senhora Aparecida,SE
Nossa Senhora da Gloria,SE
Nossa Senhora das Dores,SE
Nossa Senhora das Gracas,PR
Nossa Senhora de Lourdes,SE
Nossa Senhora de Nazare,PI
Nossa Senhora do Livramento,MT
Nossa Senhora do Socorro,SE
Nossa Senhora dos Remedios,PI
Nova Alianca,SP
Nova Alianca do Ivai,PR
Nova Alvorada,RS
Nova Alvorada do Sul,MS
Nova America,GO
Nova America da Colina,PR
Nova Andradina,MS
Nova Araca,RS
Nova Aurora,PR
Nova Aurora,GO
Nova Bandeirantes,MT
Nova Bassano,RS
Nova Belem,MG
Nova Boa Vista,RS
Nova Brasilandia,MT
Nova Brasilandia d Oeste,RO
Nova Brescia,RS
Nova Campina,SP
Nova Canaa,BA
Nova Canaa do Norte,MT
Nova Canaa Paulista,SP
Nova Candelaria,RS
Nova Cantu,PR
Nova Castilho,SP
Nova Colinas,MA
Nova Crixas,GO
Nova Cruz,RN
Nova Era,MG
Nova Erechim,SC
Nova Esperanca,PR
Nova Esperanca do Piria,PA
Nova Esperanca do Sudoeste,PR
Nova Esperanca do Sul,RS
Nova Europa,SP
Nova Fatima,PR
Nova Fatima,BA
Nova Floresta,PB
Nova Friburgo,RJ
Nova Gloria,GO
Nova Granada,SP
Nova Guarita,MT
Nova Guataporanga,SP
Nova Hartz,RS
Nova Ibia,BA
Nova Iguacu,RJ
Nova Iguacu de Goias,GO
Nova Independencia,SP
Nova Iorque,MA
Nova Ipixuna,PA
Nova Itaberaba,SC
Nova Itarana,BA
Nova Lacerda,MT
Nova Laranjeiras,PR
Nova Lima,MG
Nova Londrina,PR
Nova Luzitania,SP
Nova Mamore,RO
Nova Marilandia,MT
Nova Maringa,MT
Nova Modica,MG
Nova Monte Verde,MT
Nova Mutum,MT
Nova Nazare,MT
Nova Odessa,SP
Nova Olimpia,PR
Nova Olimpia,MT
Nova Olinda,TO
Nova Olinda,CE
Nova Olinda,PB
Nova Olinda do Maranhao,MA
Nova Olinda do Norte,AM
Nova Padua,RS
Nova Palma,RS
Nova Palmeira,PB
Nova Petropolis,RS
Nova Ponte,MG
Nova Porteirinha,MG
Nova Prata,RS
Nova Prata do Iguacu,PR
Nova Ramada,RS
Nova Redencao,BA
Nova Resende,MG
Nova Roma,GO
Nova Roma do Sul,RS
Nova Rosalandia,TO
Nova Russas,CE
Nova Santa Barbara,PR
Nova Santa Helena,MT
Nova Santa Rita,RS
Nova Santa Rita,PI
Nova Santa Rosa,PR
Nova Serrana,MG
Nova Soure,BA
Nova Tebas,PR
Nova Timboteua,PA
Nova Trento,SC
Nova Ubirata,MT
Nova Uniao,MG
Nova Uniao,RO
Nova Venecia,ES
Nova Veneza,SC
Nova Veneza,GO
Nova Vicosa,BA
Nova Xavantina,MT
Novais,SP
Novo Acordo,TO
Novo Airao,AM
Novo Alegre,TO
Novo Aripuana,AM
Novo Barreiro,RS
Novo Brasil,GO
Novo Cabrais,RS
Novo Cruzeiro,MG
Novo Gama,GO
Novo Hamburgo,RS
Novo Horizonte,SC
Novo Horizonte,SP
Novo Horizonte,BA
Novo Horizonte do Norte,MT
Novo Horizonte do Oeste,RO
Novo Horizonte do Sul,MS
Novo Itacolomi,PR
Novo Jardim,TO
Novo Lino,AL
Novo Machado,RS
Novo Mundo,MT
Novo Oriente,CE
Novo Oriente de Minas,MG
Novo Oriente do Piaui,PI
Novo Planalto,GO
Novo Progresso,PA
Novo Repartimento,PA
Novo Santo Antonio,PI
Novo Santo Antonio,MT
Novo Sao Joaquim,MT
Novo Tiradentes,RS
Novo Triunfo,BA
Novo Xingu,RS
Novorizonte,MG
Nuporanga,SP
obidos,PA
Ocara,CE
Ocaucu,SP
Oeiras,PI
Oeiras do Para,PA
Oiapoque,AP
Olaria,MG
oleo,SP
Olho d agua,PB
Olho d agua das Cunhas,MA
Olho d agua das Flores,AL
Olho d agua do Casado,AL
Olho d agua do Piaui,PI
Olho d agua Grande,AL
Olho-d agua do Borges,RN
Olhos d agua,MG
Olimpia,SP
Olimpio Noronha,MG
Olinda,PE
Olinda Nova do Maranhao,MA
Olindina,BA
Olivedos,PB
Oliveira,MG
Oliveira de Fatima,TO
Oliveira dos Brejinhos,BA
Oliveira Fortes,MG
Olivenca,AL
Onca de Pitangui,MG
Onda Verde,SP
Oratorios,MG
Oriente,SP
Orindiuva,SP
Oriximina,PA
Orizania,MG
Orizona,GO
Orlandia,SP
Orleans,SC
Orobo,PE
Oroco,PE
Oros,CE
Ortigueira,PR
Osasco,SP
Oscar Bressane,SP
Osorio,RS
Osvaldo Cruz,SP
Otacilio Costa,SC
Ourem,PA
Ouricangas,BA
Ouricuri,PE
Ourilandia do Norte,PA
Ourinhos,SP
Ourizona,PR
Ouro,SC
Ouro Branco,MG
Ouro Branco,RN
Ouro Branco,AL
Ouro Fino,MG
Ouro Preto,MG
Ouro Preto do Oeste,RO
Ouro Velho,PB
Ouro Verde,SC
Ouro Verde,SP
Ouro Verde de Goias,GO
Ouro Verde de Minas,MG
Ouro Verde do Oeste,PR
Ouroeste,SP
Ourolandia,BA
Ouvidor,GO
Pacaembu,SP
Pacaja,PA
Pacajus,CE
Pacaraima,RR
Pacatuba,CE
Pacatuba,SE
Paco do Lumiar,MA
Pacoti,CE
Pacuja,CE
Padre Bernardo,GO
Padre Carvalho,MG
Padre Marcos,PI
Padre Paraiso,MG
Paes Landim,PI
Pai Pedro,MG
Paial,SC
Paicandu,PR
Paim Filho,RS
Paineiras,MG
Painel,SC
Pains,MG
Paiva,MG
Pajeu do Piaui,PI
Palestina,AL
Palestina,SP
Palestina de Goias,GO
Palestina do Para,PA
Palhano,CE
Palhoca,SC
Palma,MG
Palma Sola,SC
Palmacia,CE
Palmares,PE
Palmares do Sul,RS
Palmares Paulista,SP
Palmas,PR
Palmas,TO
Palmas de Monte Alto,BA
Palmeira,PR
Palmeira,SC
Palmeira d Oeste,SP
Palmeira das Missoes,RS
Palmeira do Piaui,PI
Palmeira dos indios,AL
Palmeirais,PI
Palmeirandia,MA
Palmeirante,TO
Palmeiras,BA
Palmeiras de Goias,GO
Palmeiras do Tocantins,TO
Palmeirina,PE
Palmeiropolis,TO
Palmelo,GO
Palminopolis,GO
Palmital,SP
Palmital,PR
Palmitinho,RS
Palmitos,SC
Palmopolis,MG
Palotina,PR
Panama,GO
Panambi,RS
Pancas,ES
Panelas,PE
Panorama,SP
Pantano Grande,RS
Pao de Acucar,AL
Papagaios,MG
Papanduva,SC
Paqueta,PI
Para de Minas,MG
Paracambi,RJ
Paracatu,MG
Paracuru,CE
Paragominas,PA
Paraguacu,MG
Paraguacu Paulista,SP
Parai,RS
Paraiba do Sul,RJ
Paraibano,MA
Paraibuna,SP
Paraipaba,CE
Paraiso,SP
Paraiso,SC
Paraiso das aguas,MS
Paraiso do Norte,PR
Paraiso do Sul,RS
Paraiso do Tocantins,TO
Paraisopolis,MG
Parambu,CE
Paramirim,BA
Paramoti,CE
Parana,TO
Parana,RN
Paranacity,PR
Paranagua,PR
Paranaiba,MS
Paranaiguara,GO
Paranaita,MT
Paranapanema,SP
Paranapoema,PR
Paranapua,SP
Paranatama,PE
Paranatinga,MT
Paranavai,PR
Paranhos,MS
Paraopeba,MG
Parapua,SP
Parari,PB
Paratinga,BA
Paraty,RJ
Parau,RN
Parauapebas,PA
Parauna,GO
Parazinho,RN
Pardinho,SP
Pareci Novo,RS
Parecis,RO
Parelhas,RN
Pariconha,AL
Parintins,AM
Paripiranga,BA
Paripueira,AL
Pariquera-Acu,SP
Parisi,SP
Parnagua,PI
Parnaiba,PI
Parnamirim,RN
Parnamirim,PE
Parnarama,MA
Parobe,RS
Passa e Fica,RN
Passa Quatro,MG
Passa Sete,RS
Passa Tempo,MG
Passa-Vinte,MG
Passabem,MG
Passagem,RN
Passagem,PB
Passagem Franca,MA
Passagem Franca do Piaui,PI
Passira,PE
Passo de Camaragibe,AL
Passo de Torres,SC
Passo do Sobrado,RS
Passo Fundo,RS
Passos,MG
Passos Maia,SC
Pastos Bons,MA
Patis,MG
Pato Bragado,PR
Pato Branco,PR
Patos,PB
Patos de Minas,MG
Patos do Piaui,PI
Patrocinio,MG
Patrocinio do Muriae,MG
Patrocinio Paulista,SP
Patu,RN
Paty do Alferes,RJ
Pau Brasil,BA
Pau d Arco,PA
Pau d Arco,TO
Pau d Arco do Piaui,PI
Pau dos Ferros,RN
Paudalho,PE
Pauini,AM
Paula Candido,MG
Paula Freitas,PR
Pauliceia,SP
Paulinia,SP
Paulino Neves,MA
Paulista,PB
Paulista,PE
Paulistana,PI
Paulistania,SP
Paulistas,MG
Paulo Afonso,BA
Paulo Bento,RS
Paulo de Faria,SP
Paulo Frontin,PR
Paulo Jacinto,AL
Paulo Lopes,SC
Paulo Ramos,MA
Pavao,MG
Paverama,RS
Pavussu,PI
Pe de Serra,BA
Peabiru,PR
Pecanha,MG
Pederneiras,SP
Pedra,PE
Pedra Azul,MG
Pedra Bela,SP
Pedra Bonita,MG
Pedra Branca,PB
Pedra Branca,CE
Pedra Branca do Amapari,AP
Pedra do Anta,MG
Pedra do Indaia,MG
Pedra Dourada,MG
Pedra Grande,RN
Pedra Lavrada,PB
Pedra Mole,SE
Pedra Preta,RN
Pedra Preta,MT
Pedralva,MG
Pedranopolis,SP
Pedrao,BA
Pedras Altas,RS
Pedras de Fogo,PB
Pedras de Maria da Cruz,MG
Pedras Grandes,SC
Pedregulho,SP
Pedreira,SP
Pedreiras,MA
Pedrinhas,SE
Pedrinhas Paulista,SP
Pedrinopolis,MG
Pedro Afonso,TO
Pedro Alexandre,BA
Pedro Avelino,RN
Pedro Canario,ES
Pedro de Toledo,SP
Pedro do Rosario,MA
Pedro Gomes,MS
Pedro II,PI
Pedro Laurentino,PI
Pedro Leopoldo,MG
Pedro Osorio,RS
Pedro Regis,PB
Pedro Teixeira,MG
Pedro Velho,RN
Peixe,TO
Peixe-Boi,PA
Peixoto de Azevedo,MT
Pejucara,RS
Pelotas,RS
Penaforte,CE
Penalva,MA
Penapolis,SP
Pendencias,RN
Penedo,AL
Penha,SC
Pentecoste,CE
Pequeri,MG
Pequi,MG
Pequizeiro,TO
Perdigao,MG
Perdizes,MG
Perdoes,MG
Pereira Barreto,SP
Pereiras,SP
Pereiro,CE
Peri Mirim,MA
Periquito,MG
Peritiba,SC
Peritoro,MA
Perobal,PR
Perola,PR
Perola d Oeste,PR
Perolandia,GO
Peruibe,SP
Pescador,MG
Pescaria Brava,SC
Pesqueira,PE
Petrolandia,PE
Petrolandia,SC
Petrolina,PE
Petrolina de Goias,GO
Petropolis,RJ
Piacabucu,AL
Piacatu,SP
Pianco,PB
Piata,BA
Piau,MG
Picada Cafe,RS
Picarra,PA
Picos,PI
Picui,PB
Piedade,SP
Piedade de Caratinga,MG
Piedade de Ponte Nova,MG
Piedade do Rio Grande,MG
Piedade dos Gerais,MG
Pien,PR
Pilao Arcado,BA
Pilar,PB
Pilar,AL
Pilar de Goias,GO
Pilar do Sul,SP
Piloes,RN
Piloes,PB
Piloezinhos,PB
Pimenta,MG
Pimenta Bueno,RO
Pimenteiras,PI
Pimenteiras do Oeste,RO
Pindai,BA
Pindamonhangaba,SP
Pindare-Mirim,MA
Pindoba,AL
Pindobacu,BA
Pindorama,SP
Pindorama do Tocantins,TO
Pindoretama,CE
Pingo-d agua,MG
Pinhais,PR
Pinhal,RS
Pinhal da Serra,RS
Pinhal de Sao Bento,PR
Pinhal Grande,RS
Pinhalao,PR
Pinhalzinho,SP
Pinhalzinho,SC
Pinhao,SE
Pinhao,PR
Pinheiral,RJ
Pinheirinho do Vale,RS
Pinheiro,MA
Pinheiro Machado,RS
Pinheiro Preto,SC
Pinheiros,ES
Pintadas,BA
Pinto Bandeira,RS
Pintopolis,MG
Pio IX,PI
Pio XII,MA
Piquerobi,SP
Piquet Carneiro,CE
Piquete,SP
Piracaia,SP
Piracanjuba,GO
Piracema,MG
Piracicaba,SP
Piracuruca,PI
Pirai,RJ
Pirai do Norte,BA
Pirai do Sul,PR
Piraju,SP
Pirajuba,MG
Pirajui,SP
Pirambu,SE
Piranga,MG
Pirangi,SP
Pirangucu,MG
Piranguinho,MG
Piranhas,AL
Piranhas,GO
Pirapemas,MA
Pirapetinga,MG
Pirapo,RS
Pirapora,MG
Pirapora do Bom Jesus,SP
Pirapozinho,SP
Piraquara,PR
Piraque,TO
Pirassununga,SP
Piratini,RS
Piratininga,SP
Piratuba,SC
Pirauba,MG
Pirenopolis,GO
Pires do Rio,GO
Pires Ferreira,CE
Piripa,BA
Piripiri,PI
Piritiba,BA
Pirpirituba,PB
Pitanga,PR
Pitangueiras,SP
Pitangueiras,PR
Pitangui,MG
Pitimbu,PB
Pium,TO
Piuma,ES
Piumhi,MG
Placas,PA
Placido de Castro,AC
Planaltina,GO
Planaltina do Parana,PR
Planaltino,BA
Planalto,BA
Planalto,RS
Planalto,SP
Planalto,PR
Planalto Alegre,SC
Planalto da Serra,MT
Planura,MG
Platina,SP
Poa,SP
Pocao,PE
Pocao de Pedras,MA
Pocinhos,PB
Poco Branco,RN
Poco Dantas,PB
Poco das Antas,RS
Poco das Trincheiras,AL
Poco de Jose de Moura,PB
Poco Fundo,MG
Poco Redondo,SE
Poco Verde,SE
Pocoes,BA
Pocone,MT
Pocos de Caldas,MG
Pocrane,MG
Pojuca,BA
Poloni,SP
Pombal,PB
Pombos,PE
Pomerode,SC
Pompeia,SP
Pompeu,MG
Pongai,SP
Ponta de Pedras,PA
Ponta Grossa,PR
Ponta Pora,MS
Pontal,SP
Pontal do Araguaia,MT
Pontal do Parana,PR
Pontalina,GO
Pontalinda,SP
Pontao,RS
Ponte Alta,SC
Ponte Alta do Bom Jesus,TO
Ponte Alta do Norte,SC
Ponte Alta do Tocantins,TO
Ponte Branca,MT
Ponte Nova,MG
Ponte Preta,RS
Ponte Serrada,SC
Pontes e Lacerda,MT
Pontes Gestal,SP
Ponto Belo,ES
Ponto Chique,MG
Ponto dos Volantes,MG
Ponto Novo,BA
Populina,SP
Poranga,CE
Porangaba,SP
Porangatu,GO
Porciuncula,RJ
Porecatu,PR
Portalegre,RN
Portao,RS
Porteirao,GO
Porteiras,CE
Porteirinha,MG
Portel,PA
Portelandia,GO
Porto,PI
Porto Acre,AC
Porto Alegre,RS
Porto Alegre do Norte,MT
Porto Alegre do Piaui,PI
Porto Alegre do Tocantins,TO
Porto Amazonas,PR
Porto Barreiro,PR
Porto Belo,SC
Porto Calvo,AL
Porto da Folha,SE
Porto de Moz,PA
Porto de Pedras,AL
Porto do Mangue,RN
Porto dos Gauchos,MT
Porto Esperidiao,MT
Porto Estrela,MT
Porto Feliz,SP
Porto Ferreira,SP
Porto Firme,MG
Porto Franco,MA
Porto Grande,AP
Porto Lucena,RS
Porto Maua,RS
Porto Murtinho,MS
Porto Nacional,TO
Porto Real,RJ
Porto Real do Colegio,AL
Porto Rico,PR
Porto Rico do Maranhao,MA
Porto Seguro,BA
Porto Uniao,SC
Porto Velho,RO
Porto Vera Cruz,RS
Porto Vitoria,PR
Porto Walter,AC
Porto Xavier,RS
Posse,GO
Pote,MG
Potengi,CE
Potim,SP
Potiragua,BA
Potirendaba,SP
Potiretama,CE
Pouso Alegre,MG
Pouso Alto,MG
Pouso Novo,RS
Pouso Redondo,SC
Poxoreu,MT
Pracinha,SP
Pracuuba,AP
Prado,BA
Prado Ferreira,PR
Pradopolis,SP
Prados,MG
Praia Grande,SP
Praia Grande,SC
Praia Norte,TO
Prainha,PA
Pranchita,PR
Prata,MG
Prata,PB
Prata do Piaui,PI
Pratania,SP
Pratapolis,MG
Pratinha,MG
Presidente Alves,SP
Presidente Bernardes,SP
Presidente Bernardes,MG
Presidente Castello Branco,SC
Presidente Castelo Branco,PR
Presidente Dutra,BA
Presidente Dutra,MA
Presidente Epitacio,SP
